anon_id,anon_ip,active_rank,active_priority_score,passive_collection_order,gateway_port,country,org,mdns_instance_names,mdns_product_markers,passive_product_confidence,passive_family,passive_family_confidence,passive_top_version,passive_top_version_exact,scanner_input_target,active_probe_target,active_probed_base,active_product_confidence,active_reachable_status_count,active_has_signal,active_status_distribution_signature,active_status_counts,active_fingerprint_match_count,active_fingerprint_rules,active_matched_version_count,active_matched_versions,active_has_exact_version_match,active_vulnerability_count,active_proxy_detected,active_honeypot_probable,active_observation_count,active_error_count,active_first_error
gw-0003,192.0.2.3,1,105,3,18789,CN,provider-0002,gw-0003-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.3:18789,http://192.0.2.3:18789,http://192.0.2.3:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.3:18789 /: timed out
gw-0005,192.0.2.5,2,105,5,18789,ID,provider-0003,gw-0005-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.5:18789,http://192.0.2.5:18789,http://192.0.2.5:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.5:18789 /: [Errno 61] Connection refused
gw-0006,192.0.2.6,3,105,6,18789,ID,provider-0004,gw-0006-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.6:18789,http://192.0.2.6:18789,http://192.0.2.6:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.6:18789 /: [Errno 61] Connection refused
gw-0007,192.0.2.7,4,105,7,18789,ID,provider-0005,gw-0007-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.7:18789,http://192.0.2.7:18789,http://192.0.2.7:18789,1.0,37,True,200:13;401:3;404:21,200:13;401:3;404:21,3,,0,,False,0,False,False,39,2,http://192.0.2.7:18789 WS-UPGRADE /ws: timed out
gw-0008,192.0.2.8,5,105,8,18789,SG,provider-0006,gw-0008-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.8:18789,http://192.0.2.8:18789,http://192.0.2.8:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.8:18789 /: [Errno 61] Connection refused
gw-0009,192.0.2.9,6,105,9,18789,VN,provider-0007,gw-0009-instance-1,claw gateway;openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.9:18789,http://192.0.2.9:18789,http://192.0.2.9:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.9:18789 /: [Errno 61] Connection refused
gw-0010,192.0.2.10,7,105,10,18789,VN,provider-0008,gw-0010-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.10:18789,http://192.0.2.10:18789,http://192.0.2.10:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.10:18789 /: [Errno 61] Connection refused
gw-0011,192.0.2.11,8,105,11,18789,TH,provider-0009,gw-0011-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.11:18789,http://192.0.2.11:18789,http://192.0.2.11:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.11:18789 /: [Errno 61] Connection refused
gw-0012,192.0.2.12,9,105,12,18789,SG,provider-0010,gw-0012-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.12:18789,http://192.0.2.12:18789,http://192.0.2.12:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.12:18789 /: [Errno 61] Connection refused
gw-0013,192.0.2.13,10,105,13,18789,TH,provider-0011,gw-0013-instance-1,claw gateway;openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.13:18789,http://192.0.2.13:18789,http://192.0.2.13:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.13:18789 /: [Errno 61] Connection refused
gw-0014,192.0.2.14,11,105,14,18789,ID,provider-0012,gw-0014-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.14:18789,http://192.0.2.14:18789,http://192.0.2.14:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.14:18789 /: [Errno 61] Connection refused
gw-0015,192.0.2.15,12,105,15,18789,ID,provider-0012,gw-0015-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.15:18789,http://192.0.2.15:18789,http://192.0.2.15:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.15:18789 /: [Errno 61] Connection refused
gw-0016,192.0.2.16,13,105,16,18789,VN,provider-0013,gw-0016-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.16:18789,http://192.0.2.16:18789,http://192.0.2.16:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,2,,0,,False,0,False,False,39,2,http://192.0.2.16:18789 WS-UPGRADE /ws: timed out
gw-0017,192.0.2.17,14,105,17,18789,ID,provider-0014,gw-0017-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.17:18789,http://192.0.2.17:18789,http://192.0.2.17:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.17:18789 /: [Errno 61] Connection refused
gw-0018,192.0.2.18,15,105,18,18789,VN,provider-0015,gw-0018-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.18:18789,http://192.0.2.18:18789,http://192.0.2.18:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.18:18789 /: [Errno 61] Connection refused
gw-0019,192.0.2.19,16,105,19,18789,US,provider-0016,gw-0019-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.19:18789,http://192.0.2.19:18789,http://192.0.2.19:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.19:18789 /: [Errno 61] Connection refused
gw-0020,192.0.2.20,17,105,20,18789,US,provider-0016,gw-0020-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.20:18789,http://192.0.2.20:18789,http://192.0.2.20:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.20:18789 /: [Errno 61] Connection refused
gw-0021,192.0.2.21,18,105,21,18789,US,provider-0016,gw-0021-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.21:18789,http://192.0.2.21:18789,http://192.0.2.21:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.21:18789 /: [Errno 61] Connection refused
