anon_id,anon_ip,active_rank,active_priority_score,passive_collection_order,gateway_port,country,org,mdns_instance_names,mdns_product_markers,passive_product_confidence,passive_family,passive_family_confidence,passive_top_version,passive_top_version_exact,scanner_input_target,active_probe_target,active_probed_base,active_product_confidence,active_reachable_status_count,active_has_signal,active_status_distribution_signature,active_status_counts,active_fingerprint_match_count,active_fingerprint_rules,active_matched_version_count,active_matched_versions,active_has_exact_version_match,active_vulnerability_count,active_proxy_detected,active_honeypot_probable,active_observation_count,active_error_count,active_first_error
gw-0007,192.0.2.7,4,105,7,18789,ID,provider-0005,gw-0007-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.7:18789,http://192.0.2.7:18789,http://192.0.2.7:18789,1.0,37,True,200:13;401:3;404:21,200:13;401:3;404:21,3,,0,,False,0,False,False,39,2,http://192.0.2.7:18789 WS-UPGRADE /ws: timed out
gw-0016,192.0.2.16,13,105,16,18789,VN,provider-0013,gw-0016-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.16:18789,http://192.0.2.16:18789,http://192.0.2.16:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,2,,0,,False,0,False,False,39,2,http://192.0.2.16:18789 WS-UPGRADE /ws: timed out
gw-0024,192.0.2.24,21,105,24,18789,US,provider-0019,gw-0024-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.24:18789,http://192.0.2.24:18789,http://192.0.2.24:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,2,,0,,False,0,False,False,39,2,http://192.0.2.24:18789 WS-UPGRADE /ws: timed out
gw-0045,192.0.2.45,37,105,45,18789,US,provider-0032,gw-0045-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.45:18789,http://192.0.2.45:18789,http://192.0.2.45:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,2,,0,,False,0,False,False,39,2,http://192.0.2.45:18789 WS-UPGRADE /ws: timed out
gw-0049,192.0.2.49,40,105,49,18789,CN,provider-0034,gw-0049-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.49:18789,http://192.0.2.49:18789,http://192.0.2.49:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,2,,0,,False,0,False,False,39,2,http://192.0.2.49:18789 WS-UPGRADE /ws: timed out
gw-0052,192.0.2.52,43,105,52,18789,CN,provider-0037,gw-0052-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.52:18789,http://192.0.2.52:18789,http://192.0.2.52:18789,0.8500000000000001,36,True,200:13;404:22;500:1,200:13;404:22;500:1,1,,0,,False,0,False,False,39,3,http://192.0.2.52:18789 /robots.txt: timed out
gw-0053,192.0.2.53,44,105,53,18789,CN,provider-0038,gw-0053-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.53:18789,http://192.0.2.53:18789,http://192.0.2.53:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,2,,0,,False,0,False,False,39,2,http://192.0.2.53:18789 WS-UPGRADE /ws: timed out
gw-0061,192.0.2.61,50,105,61,18789,CN,provider-0034,gw-0061-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.61:18789,http://192.0.2.61:18789,http://192.0.2.61:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,2,,0,,False,0,False,False,39,2,http://192.0.2.61:18789 WS-UPGRADE /ws: timed out
gw-0062,192.0.2.62,51,105,62,18789,CN,provider-0042,gw-0062-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.62:18789,http://192.0.2.62:18789,http://192.0.2.62:18789,1.0,36,True,200:12;401:1;404:23,200:12;401:1;404:23,2,,0,,False,0,False,False,39,3,http://192.0.2.62:18789 /ws: timed out
gw-0072,192.0.2.72,54,105,72,18789,US,provider-0046,gw-0072-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.72:18789,http://192.0.2.72:18789,http://192.0.2.72:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,1,,0,,False,0,False,False,39,2,http://192.0.2.72:18789 WS-UPGRADE /ws: timed out
gw-0075,192.0.2.75,55,105,75,18789,US,provider-0048,gw-0075-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.75:18789,http://192.0.2.75:18789,http://192.0.2.75:18789,1.0,37,True,200:13;401:1;404:23,200:13;401:1;404:23,2,,0,,False,0,False,False,39,2,http://192.0.2.75:18789 WS-UPGRADE /ws: timed out
