anon_id,anon_ip,collection_order,gateway_port,active_target,preferred_url,scanner_input_target,product_confidence,passive_family,passive_family_confidence,top_version,top_version_confidence,top_version_exact,mdns_version,mdns_service_types,mdns_product_markers,mdns_instance_names,country,org,shodan_module,shodan_port,honeypot_probable,proxy_detected,vulnerability_count,public_ip,active_rank,active_priority_score,active_probe_target,active_probed_base,active_product_confidence,active_reachable_status_count,active_has_signal,active_status_distribution_signature,active_status_counts,active_fingerprint_match_count,active_fingerprint_rules,active_matched_version_count,active_matched_versions,active_has_exact_version_match,active_vulnerability_count,active_proxy_detected,active_honeypot_probable,active_observation_count,active_error_count,active_first_error
gw-0001,192.0.2.1,1,17827,192.0.2.1:17827,http://192.0.2.1:17827,192.0.2.1:17827,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0001-instance-1,HK,provider-0001,mdns,5353,False,False,0,192.0.2.1,,,,,,,False,,,,,,,,,,,,,
gw-0002,192.0.2.2,2,17827,192.0.2.2:17827,http://192.0.2.2:17827,192.0.2.2:17827,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0002-instance-1,HK,provider-0001,mdns,5353,False,False,0,192.0.2.2,,,,,,,False,,,,,,,,,,,,,
gw-0003,192.0.2.3,3,18789,192.0.2.3:18789,https://192.0.2.3:18789,192.0.2.3:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0003-instance-1,CN,provider-0002,mdns,5353,False,False,0,192.0.2.3,1,105,http://192.0.2.3:18789,http://192.0.2.3:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.3:18789 /: timed out
gw-0004,192.0.2.4,4,5353,192.0.2.4:5353,http://192.0.2.4:5353,192.0.2.4:5353,0.55,,,,,False,,,,,CN,provider-0002,mdns,5353,False,False,0,192.0.2.4,,,,,,,False,,,,,,,,,,,,,
gw-0005,192.0.2.5,5,18789,192.0.2.5:18789,https://192.0.2.5:18789,192.0.2.5:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0005-instance-1,ID,provider-0003,mdns,5353,False,False,0,192.0.2.5,2,105,http://192.0.2.5:18789,http://192.0.2.5:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.5:18789 /: [Errno 61] Connection refused
gw-0006,192.0.2.6,6,18789,192.0.2.6:18789,https://192.0.2.6:18789,192.0.2.6:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0006-instance-1,ID,provider-0004,mdns,5353,False,False,0,192.0.2.6,3,105,http://192.0.2.6:18789,http://192.0.2.6:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.6:18789 /: [Errno 61] Connection refused
gw-0007,192.0.2.7,7,18789,192.0.2.7:18789,https://192.0.2.7:18789,192.0.2.7:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0007-instance-1,ID,provider-0005,mdns,5353,False,False,0,192.0.2.7,4,105,http://192.0.2.7:18789,http://192.0.2.7:18789,1.0,37,True,200:13;401:3;404:21,200:13;401:3;404:21,3,,0,,False,0,False,False,39,2,http://192.0.2.7:18789 WS-UPGRADE /ws: timed out
gw-0008,192.0.2.8,8,18789,192.0.2.8:18789,https://192.0.2.8:18789,192.0.2.8:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0008-instance-1,SG,provider-0006,mdns,5353,False,False,0,192.0.2.8,5,105,http://192.0.2.8:18789,http://192.0.2.8:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.8:18789 /: [Errno 61] Connection refused
gw-0009,192.0.2.9,9,18789,192.0.2.9:18789,https://192.0.2.9:18789,192.0.2.9:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,claw gateway;openclaw;openclaw-gw,gw-0009-instance-1,VN,provider-0007,mdns,5353,False,False,0,192.0.2.9,6,105,http://192.0.2.9:18789,http://192.0.2.9:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.9:18789 /: [Errno 61] Connection refused
gw-0010,192.0.2.10,10,18789,192.0.2.10:18789,https://192.0.2.10:18789,192.0.2.10:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0010-instance-1,VN,provider-0008,mdns,5353,False,False,0,192.0.2.10,7,105,http://192.0.2.10:18789,http://192.0.2.10:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.10:18789 /: [Errno 61] Connection refused
gw-0011,192.0.2.11,11,18789,192.0.2.11:18789,https://192.0.2.11:18789,192.0.2.11:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0011-instance-1,TH,provider-0009,mdns,5353,False,False,0,192.0.2.11,8,105,http://192.0.2.11:18789,http://192.0.2.11:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.11:18789 /: [Errno 61] Connection refused
gw-0012,192.0.2.12,12,18789,192.0.2.12:18789,https://192.0.2.12:18789,192.0.2.12:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0012-instance-1,SG,provider-0010,mdns,5353,False,False,0,192.0.2.12,9,105,http://192.0.2.12:18789,http://192.0.2.12:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.12:18789 /: [Errno 61] Connection refused
gw-0013,192.0.2.13,13,18789,192.0.2.13:18789,https://192.0.2.13:18789,192.0.2.13:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,claw gateway;openclaw;openclaw-gw,gw-0013-instance-1,TH,provider-0011,mdns,5353,False,False,0,192.0.2.13,10,105,http://192.0.2.13:18789,http://192.0.2.13:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.13:18789 /: [Errno 61] Connection refused
