anon_id,anon_ip,active_rank,mode,input_target,probed_base,responsive,has_signal,product_confidence,family_match_count,top_family,matched_version_count,top_version,exact_version_count,vulnerability_count,status_distribution_signature,observation_count,error_count,first_error
gw-0003,192.0.2.3,1,default,192.0.2.3:18789,http://192.0.2.3:18789,True,True,0.8500000000000001,1,openclaw_spa_fallback_all_200,0,,0,0,200:29;404:7,38,40,https://192.0.2.3:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
gw-0009,192.0.2.9,2,default,192.0.2.9:443,https://192.0.2.9:443,True,False,0.8500000000000001,0,,0,,0,0,200:19;404:19,38,0,
gw-0011,192.0.2.11,3,default,192.0.2.11:443,https://192.0.2.11:443,True,False,0.8500000000000001,0,,0,,0,0,200:19;404:19,38,0,
gw-0017,192.0.2.17,4,default,192.0.2.17:18789,http://192.0.2.17:18789,True,False,0.0,0,,0,,0,0,,38,76,https://192.0.2.17:18789 /: timed out
gw-0027,192.0.2.27,5,default,192.0.2.27:2087,https://192.0.2.27:2087,True,True,0.30000000000000004,0,,1,2023.11.3,1,32,200:35;400:2;404:1,38,0,
gw-0038,192.0.2.38,6,default,192.0.2.38:18789,http://192.0.2.38:18789,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:17;404:19,38,40,https://192.0.2.38:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
gw-0039,192.0.2.39,7,default,192.0.2.39:18789,http://192.0.2.39:18789,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:17;404:19,38,40,https://192.0.2.39:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
gw-0043,192.0.2.43,8,default,192.0.2.43:443,https://192.0.2.43:443,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,1,2026.5.7,1,0,101:2;200:17;404:19,38,0,
gw-0046,192.0.2.46,9,default,192.0.2.46:80,http://192.0.2.46:80,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,101:2;200:17;404:19,38,0,
gw-0053,192.0.2.53,10,default,192.0.2.53:443,https://192.0.2.53:443,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,1,2026.5.28,1,0,101:2;200:17;404:19,38,0,
gw-0057,192.0.2.57,11,default,192.0.2.57:18789,http://192.0.2.57:18789,True,False,0.0,0,,0,,0,0,,38,76,https://192.0.2.57:18789 /: timed out
gw-0060,192.0.2.60,12,default,192.0.2.60:18789,http://192.0.2.60:18789,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,1,2026.5.7,1,0,200:17;404:19,38,40,https://192.0.2.60:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
gw-0067,192.0.2.67,13,default,192.0.2.67:18789,http://192.0.2.67:18789,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:17;404:19,38,40,https://192.0.2.67:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
gw-0068,192.0.2.68,14,default,192.0.2.68:80,http://192.0.2.68:80,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,101:2;200:17;404:19,38,0,
gw-0076,192.0.2.76,15,default,192.0.2.76:18789,http://192.0.2.76:18789,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,1,2026.5.3-1,1,0,200:17;404:19,38,40,https://192.0.2.76:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
gw-0077,192.0.2.77,16,default,192.0.2.77:18789,http://192.0.2.77:18789,True,True,0.8500000000000001,1,openclaw_spa_fallback_all_200,1,2026.2.2-1,1,29,200:36,38,40,https://192.0.2.77:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
gw-0079,192.0.2.79,17,default,192.0.2.79:18789,http://192.0.2.79:18789,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,1,2026.5.28,1,0,200:17;404:19,38,40,https://192.0.2.79:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
