anon_id,anon_ip,collection_order,input_target,source,discovery_confidence,discovery_sources,passive_http_title,passive_http_status,shodan_module,shodan_product,shodan_query_id,product_confidence,family_match_count,top_family,matched_version_count,top_version,exact_version_count,vulnerability_count,status_distribution_signature
gw-0001,192.0.2.1,1,192.0.2.1:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0002,192.0.2.2,2,192.0.2.2:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0003,192.0.2.3,3,192.0.2.3:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0004,192.0.2.4,4,192.0.2.4:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0005,192.0.2.5,5,192.0.2.5:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0006,192.0.2.6,6,192.0.2.6:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0007,192.0.2.7,7,192.0.2.7:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0008,192.0.2.8,8,192.0.2.8:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0009,192.0.2.9,9,192.0.2.9:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0010,192.0.2.10,10,192.0.2.10:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
